Domain,MX,ERROR,IP
aborgesllc.com,aborgesllc-com.mail.protection.outlook.com,,216.32.181.42
additionalpersonnel.com,additionalpersonnel-com.mail.protection.outlook.com,,207.46.163.10
advancedsigning.com,advancedsigning-com.mail.protection.outlook.com,,216.32.181.106
ahsinc.org,ahsinc-org.mail.protection.outlook.com,,207.46.163.74
allthingsweb2.com,allthingsweb2.com,,108.61.117.225
iesnyc.com,alt1.aspmx.l.google.com,,64.233.190.27
lfoleary.com,ALT1.ASPMX.L.GOOGLE.com,,64.233.190.27
metrologyservicesinc.com,ALT1.ASPMX.L.GOOGLE.com,,64.233.190.27
lamoureuxford.com,ALT2.ASPMX.L.GOOGLE.com,,209.85.203.27
framinghamwelding.com,ALT3.ASPMX.L.GOOGLE.com,,108.177.15.26
lamford.com,ALT3.ASPMX.L.GOOGLE.com,,108.177.15.26
algpartners.com,alt4.aspmx.l.google.com,,173.194.79.26
armonkadvisors.com,armonkadvisors-com.mail.protection.outlook.com,,216.32.180.42
keanefire.com,asp.reflexion.net,,208.70.211.233
mayaud.com,ASPMX.L.GOOGLE.com,,173.194.204.27
yorn.com,aspmx.l.google.com,,173.194.204.27
batesfullam.com,batesfullam-com.mail.protection.outlook.com,,207.46.163.10
becirb.com,becirb-com.mail.protection.outlook.com,,216.32.180.170
burnsbryant.com,burnsbryant-com.mail.protection.outlook.com,,207.46.163.74
bylatty.com,bylatty-com.mail.protection.outlook.com,,216.32.181.234
crosssoundcable.com,crosssoundcable-com.mail.protection.outlook.com,,216.32.181.234
crowleybrothers.com,crowleybrothers-com.mail.protection.outlook.com,,216.32.180.74
csrk.com,csrk-com.mail.protection.outlook.com,,216.32.180.10
curryhondaga.com,curryhondaga-com.mail.protection.outlook.com,,216.32.180.10
test.dbsintl.com,d17669b.ess.barracudanetworks.com,,64.235.154.140
araiamericas.com,d18355a.ess.barracudanetworks.com,,64.235.154.140
interactiveliquid.com,d18360b.ess.barracudanetworks.com,,64.235.154.140
apps-on-tap.com,d18380a.ess.barracudanetworks.com,,64.235.154.105
dbsintl.org,d18383a.ess.barracudanetworks.com,,64.235.154.109
lvsclays.com,d18386b.ess.barracudanetworks.com,,64.235.153.2
nradirector.com,d18389b.ess.barracudanetworks.com,,64.235.153.10
clients.dbsintl.com,d25849b.ess.barracudanetworks.com,,64.235.153.2
telmar.com,d33208b.ess.barracudanetworks.com,,64.235.150.252
ashtonconsulting.com,d35521a.ess.barracudanetworks.com,,64.235.153.10
kaganhome.com,d35525a.ess.barracudanetworks.com,,64.235.153.2
riverglen.net,d35534a.ess.barracudanetworks.com,,64.235.150.252
myneps.com,d35540a.ess.barracudanetworks.com,,64.235.154.105
deloughrey.com,d35548b.ess.barracudanetworks.com,,64.235.153.2
beachsalesinc.com,d35591b.ess.barracudanetworks.com,,64.235.153.10
mancuso-nowak.com,d35593a.ess.barracudanetworks.com,,64.235.154.109
massbaytech.com,d35599a.ess.barracudanetworks.com,,64.235.154.140
jnj-industries.com,d35601b.ess.barracudanetworks.com,,64.235.154.109
worldsleepproducts.com,d35606a.ess.barracudanetworks.com,,64.235.154.109
safeharborfieldservices.com,d35625a.ess.barracudanetworks.com,,64.235.150.252
savantsystems.com,d35630b.ess.barracudanetworks.com,,64.235.153.10
digginsrose.com,d35637b.ess.barracudanetworks.com,,64.235.153.10
iquum.com,d35645b.ess.barracudanetworks.com,,64.235.154.140
nreob.com,d35651a.ess.barracudanetworks.com,,64.235.154.105
racepointmedia.com,d36207a.ess.barracudanetworks.com,,64.235.153.10
886ventures.com,d36208b.ess.barracudanetworks.com,,64.235.154.140
savantav.com,d36244b.ess.barracudanetworks.com,,64.235.154.140
litetouch.com,d36556a.ess.barracudanetworks.com,,64.235.154.109
exsifww.com,d39258b.ess.barracudanetworks.com,,64.235.154.109
imanet.org,d39263b.ess.barracudanetworks.com,,64.235.153.10
desantis7.com,d39755b.ess.barracudanetworks.com,,64.235.153.10
wlfd.net,d39756a.ess.barracudanetworks.com,,64.235.154.105
crowntrophy.com,d39758b.ess.barracudanetworks.com,,64.235.153.10
trophydirect.com,d39769a.ess.barracudanetworks.com,,64.235.154.109
mail.telmar.com,d40292a.ess.barracudanetworks.com,,64.235.154.109
telmar.co.uk,d40295a.ess.barracudanetworks.com,,64.235.154.105
peaktime.fr,d40297b.ess.barracudanetworks.com,,64.235.154.109
telmarpeaktime.fr,d40298a.ess.barracudanetworks.com,,64.235.153.10
telmarpeaktime.nl,d40300b.ess.barracudanetworks.com,,64.235.154.140
telmar.co.za,d40305a.ess.barracudanetworks.com,,64.235.153.2
telmar-hmi.nl,d40308b.ess.barracudanetworks.com,,64.235.154.109
etelmar.co.uk,d40693a.ess.barracudanetworks.com,,64.235.154.109
etelmar.eu,d40694b.ess.barracudanetworks.com,,64.235.154.105
ecdentaldesign.com,d44784a.ess.barracudanetworks.com,,64.235.153.10
cobaltcomputers.com,d45489b.ess.barracudanetworks.com,,64.235.150.252
discoverlehighvalley.com,d45491b.ess.barracudanetworks.com,,64.235.150.252
cmcorporation.com,d47577b.ess.barracudanetworks.com,,64.235.150.252
racepointmanagement.com,d51687a.ess.barracudanetworks.com,,64.235.154.109
fiber-line.com,d55027a.ess.barracudanetworks.com,,64.235.153.10
savant.com,d57172b.ess.barracudanetworks.com,,64.235.153.2
telmar.nl,d58434a.ess.barracudanetworks.com,,64.235.154.109
yanekcustom.com,d67350a.ess.barracudanetworks.com,,64.235.154.109
bandminsurance.com,data.artefactdesign.com,,65.75.10.227
cornerstoneinsurance.com,data.artefactdesign.com,,65.75.10.227
costellonh.com,data.artefactdesign.com,,65.75.10.227
leonardagency.com,data.artefactdesign.com,,65.75.10.227
dc-reps.com,dcreps-com0e.mail.protection.outlook.com,,216.32.181.74
diversenetworksllc.com,diversenetworksllc-com.mail.protection.outlook.com,,207.46.163.42
dpi-boston.com,dpiboston-com0i.mail.protection.outlook.com,,216.32.180.10
drain-doctor.com,draindoctor-com01c.mail.protection.outlook.com,,207.46.163.10
njfairplan.org,east.smtp.exch083.serverdata.net,,162.216.194.241
edoceosolutions.com,edoceosolutions.com.s7b2.psmtp.com,,108.177.15.26
eiqnetworks.com,eiqnetworks-com.mail.protection.outlook.com,,216.32.181.234
elinsurance.com,elinsurance.com.2.0001.arsmtp.com,,204.232.236.141
baldwinweb.com,exch3.insuremail.com,,204.155.61.74
welshparker.com,exch3.insuremail.com,,204.155.61.74
expressitdelivery.com,expressitdelivery-com.mail.protection.outlook.com,,216.32.181.170
exsifchina.com,exsifchina.com.s6b1.psmtp.com,,209.85.203.27
exsifworldwide.com,exsifww.com.s6b1.psmtp.com,,209.85.203.27
greenwood-industries.com,filter1.directitcorp.com,,64.14.76.226
gerritystone.com,gerritystone-com.mail.protection.outlook.com,,216.32.180.42
glinesandrhodes.com,glinesandrhodes-com.mail.protection.outlook.com,,216.32.181.106
handy-1.com,handyharman.com.mail6.psmtp.com,,64.233.190.27
hollisagency.com,hollisagency-com.mail.protection.outlook.com,,216.32.180.106
hudsonlight.com,inbound.hudsonlight.com.netsolmail.net,,206.188.198.64
newenglandsalesinc.com,inbound.newenglandsalesinc.com.netsolmail.net,,209.17.115.10
tanksupplier.com,inbound.tanksupplier.com.netsolmail.net,,206.188.198.64
irbmanager.com,irbmanager-com.mail.protection.outlook.com,,207.46.163.106
knoxtherapy.com,knoxtherapy-com.mail.protection.outlook.com,,216.32.180.74
krieghoff.com,krieghoff-com.mail.protection.outlook.com,,216.32.180.10
krolltechnologies.com,krolltechnologies-com.mail.protection.outlook.com,,207.46.163.138
mafood.com,mafood-com.mail.protection.outlook.com,,216.32.181.10
savantcs.com,mail.886ventures.com,,69.26.113.198
caaconsult.com,mail.b-io.co,,198.133.159.135
camelotemb.com,mail.camelotemb.com,,192.185.189.217
capecodcustomtours.com,mail.capecodcustomtours.com,,8.21.84.164
cx-data.net,mail.cx-data.net,,216.48.112.233
hylinecruises.com,mail.hylinecruises.com,,8.21.84.164
qpsi.net,mail.interactivepalette.com,,72.52.152.235
kingstreetband.com,mail.kingstreetband.com,,23.229.206.227
lchdirect.com,mail.lchdirect.com,,216.70.64.198
sharfmansjewelers.com,mail.sharfmansjewelers.com,,216.195.2.25
upbyseven.com,mail.upbyseven.com,,144.208.76.173
waldoch.org,mail.waldoch.org,,23.229.206.227
eyeboston.com,mail1.eyeboston.com,,69.147.178.24
redstripeinc.com,mail1.g13.pair.com,,66.39.65.156
aapllc.net,mailstore1.secureserver.net,,68.178.213.244
capecodexp.com,mailstore1.secureserver.net,,68.178.213.244
packagingsbest.com,mailstore1.secureserver.net,,68.178.213.244
teamca.net,mailstore1.secureserver.net,,68.178.213.244
marotto.org,marotto-org.mail.protection.outlook.com,,216.32.181.106
matherenterprises.com,matherenterprises-com.mail.protection.outlook.com,,216.32.180.74
micro-coax.com,microcoax-com01c.mail.protection.outlook.com,,207.46.163.247
monfreight.com,monfreight.com.1.0001.arsmtp.com,,5.152.185.140
mrg-inc.com,mrginc-com0i.mail.protection.outlook.com,,216.32.181.234
karas.net,mx.zoho.com,,204.141.32.121
thehoffsteins.com,mx00.1and1.com,,74.208.5.3
federalplumbing.com,mx01.1and1.com,,74.208.5.21
discountdeskco.com,mx.discountdeskco.com,,66.96.140.115
volpetool.com,mx07.register.com,,205.178.149.7
yaleappliance.com,Mx1.emailsrvr.com,,108.166.43.1
bellavitashoes.com,mx1-us1.ppe-hosted.com,,67.231.154.162
burkedist.com,mx1-us1.ppe-hosted.com,,67.231.154.162
easystreetshoes.com,mx1-us1.ppe-hosted.com,,67.231.154.162
ns-data.com,mx1-us1.ppe-hosted.com,,67.231.154.162
ontimecompanies.com,mx1-us1.ppe-hosted.com,,67.231.154.162
pack-spec.com,mx1-us1.ppe-hosted.com,,67.231.154.162
junemedia.com,mx2.emailsrvr.com,,173.203.187.2
pjhayes.com,mx2.emailsrvr.com,,173.203.187.2
silvercarrot.com,mx2.emailsrvr.com,,173.203.187.2
deckfastener.com,mx2c40.carrierzone.com,,64.29.151.237
rasansky.com,mx3.zoho.com,,216.52.72.252
vesconite.com,mx30.mailspamprotection.com,,108.163.201.228
nemitz.com,mx4.fltg.com,,68.70.58.67
jumatechnology.com,mx7.jumatechnology.com,,173.239.2.189
cequel3.com,mxa-00279c01.gslb.pphosted.com,,148.163.158.113
dbsintl.net,mxa-00279c01.gslb.pphosted.com,,148.163.158.113
tierpoint.com,mxa-00279c01.gslb.pphosted.com,,148.163.158.113
xand.com,mxa-00279c01.gslb.pphosted.com,,148.163.158.113
axsne.com,mxb-00279c01.gslb.pphosted.com,,148.163.148.255
dbsintl.com,mxb-00279c01.gslb.pphosted.com,,148.163.148.255
netyp.org,netyp.org,,66.34.86.219
newamerica-hyb.com,newamericahyb-com02e.mail.protection.outlook.com,,216.32.180.74
newenglandsales.com,newenglandsales-com.mail.protection.outlook.com,,216.32.181.10
neweratickets.com,neweratickets.com.s8b2.psmtp.com,,108.177.15.26
curleyins.com,nog.artefactdesign.com,,65.75.10.226
ontimemailing.com,mxdomain.qq.com,,183.57.48.35
beastbox.net,p.webcom.ctmail.com,,216.163.176.32
promarketing-ne.com,promarketingne-com03b.mail.protection.outlook.com,,216.32.181.10
psmarston.com,psmarston-com.mail.protection.outlook.com,,216.32.181.10
amic.co.uk,relay2.xand.com,,216.150.131.212
crownawards.com,relay2.xand.com,,216.150.131.212
cubelink.net,relay2.xand.com,,216.150.131.212
exchange.telmar.com,relay2.xand.com,,216.150.131.212
handy-one.com,relay2.xand.com,,216.150.131.212
striker.org,relay2.xand.com,,216.150.131.212
rocmar.net,rocmar-net.mail.protection.outlook.com,,216.32.181.234
rtgp.com,rtgp-com.mail.protection.outlook.com,,216.32.181.234
brush.com,smtp.secureserver.net,,72.167.238.29
spencertech.com,spencertech-com.mail.protection.outlook.com,,207.46.163.74
stjcemetery.com,stjcemetery-com.mail.protection.outlook.com,,216.32.181.10
sullivanre.net,sullivanre-net.mail.protection.outlook.com,,207.46.163.138
supplyne.com,supplyne-com.mail.protection.outlook.com,,216.32.181.170
techsoftinc.com,techsoftinc-com.mail.protection.outlook.com,,216.32.181.170
telmar.com.hk,telmar.com.s6b1.psmtp.com,,209.85.203.27
telmarpacific.com.au,telmarpacific.com.au.s6a2.psmtp.com,,64.233.190.27
thebrownco.com,thebrownco-com.mail.protection.outlook.com,,216.32.181.42
themetanetwork.com,themetanetwork.com,,69.13.5.211
adcomputer.com,us-smtp-inbound-1.mimecast.com,,207.211.30.221
mfpstrategies.com,us-smtp-inbound-1.mimecast.com,,207.211.30.221
omgroofing.com,us-smtp-inbound-1.mimecast.com,,207.211.30.221
sonis.com,us-smtp-inbound-1.mimecast.com,,207.211.30.221
chiengineering.com,us-smtp-inbound-2.mimecast.com,,207.211.30.145
opticaldg.com,us-smtp-inbound-2.mimecast.com,,207.211.30.145
fonar.com,west.smtp.exch083.serverdata.net,,199.193.205.130
mwylaw.com,west.smtp.exch083.serverdata.net,,199.193.205.130
njiua.org,west.smtp.exch083.serverdata.net,,199.193.205.130
yaros4.com,west.smtp.exch083.serverdata.net,,199.193.205.130
wusthof.com,wusthof.com.1.0001.arsmtp.com,,8.19.118.112
iesnyc.com,alt2.aspmx.l.google.com,,209.85.203.27
lfoleary.com,ALT2.ASPMX.L.GOOGLE.com,,209.85.203.27
metrologyservicesinc.com,ALT2.ASPMX.L.GOOGLE.com,,209.85.203.27
lamoureuxford.com,ASPMX.L.GOOGLE.com,,74.125.29.26
framinghamwelding.com,ALT4.ASPMX.L.GOOGLE.com,,173.194.79.26
lamford.com,ALT4.ASPMX.L.GOOGLE.com,,173.194.79.26
algpartners.com,aspmx.l.google.com,,74.125.29.26
keanefire.com,mx-100.reflexion.net,,208.70.211.233
mayaud.com,ALT1.ASPMX.L.GOOGLE.com,,64.233.190.27
yorn.com,alt1.aspmx.l.google.com,,64.233.190.27
